	Sample Number: S01	Sample Number: S02	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S07	Sample Number: S08	Sample Number: S09	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S13	Sample Number: S14	Sample Number: S15	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S20	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S25	Sample Number: S26	Sample Number: S27	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S31	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44	Sample Number: S45	Sample Number: S46	Sample Number: S47	Sample Number: S48	Sample Number: S49	Sample Number: S50	Sample Number: S51	Sample Number: S52	Sample Number: S53	Sample Number: S54	Sample Number: S55	Sample Number: S56	Sample Number: S57	Sample Number: S58	Sample Number: S59	Sample Number: S60	Sample Number: S61	Sample Number: S62	Sample Number: S63	Sample Number: S64	Sample Number: S65	Sample Number: S66	Sample Number: S67	Sample Number: S68	Sample Number: S69	Sample Number: S70	Sample Number: S71	Sample Number: S72	Sample Number: S73	Sample Number: S74	Sample Number: S75	Sample Number: S76	Sample Number: S77	Sample Number: S78	Sample Number: S79	Sample Number: S80	Sample Number: S81	Sample Number: S82	Sample Number: S83	Sample Number: S84
chea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.91	100	100	100	100	100	100	100	100	100	100	100	100	99.96	100	100	100	100	100	100	100	100	100	100	100	100	99.96	100	100	100	100	100	99.96	100	100	99.96	100	100	100	100	99.96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cheb	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	96.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ched	68.04	68.04	89.67	68.04	68.04	68.04	68.04	68.04	89.67	68.04	89.67	68.04	68.04	68.04	68.04	68.04	68.04	68.04	68.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cher	98.67	98.67	98.67	98.67	98.67	98.67	98.67	98.67	98.19	98.67	98.19	98.67	98.67	98.67	98.67	98.67	98.79	98.67	98.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.9	99.9	100	100	100	99.9	100	100	100	100	100	100	100	100	99.9	100	100	100	99.9	100	100	100	100	100	100	99.9	100	100	100	100	100	100	99.9	100	99.9	100	100	99.9	100	100	100	100	100	100	100	100	100	99.79	100	100	100	100	100	100	100	100	100	100	100	100	100	99.9	100	100	100
chew	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	91.37	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
chey	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.49	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
chez	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.29	87.75	87.75	87.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ciab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.29	100	99.95	99.95	100	100	100	100	99.95	99.95	100	100	99.95	99.95	99.95	99.95	100	100	100	100	99.95	99.95	100	100	100	100	100	100	100	99.95	99.95	100	99.95	100	99.95	99.95	99.95	100	99.95	100	99.95	99.95	99.95	99.95	99.95	100	99.84	99.95	99.95	99.95	99.95	100	99.95	99.95	100	99.95	99.95	99.95	99.95	100	99.95	99.95	99.95	99.95	99.95	99.95
ciac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cj1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.97	98.9	98.9	98.9	98.9	98.97	98.9	98.77	98.9	98.97	98.9	98.84	98.97	98.97	98.9	98.9	98.97	98.9	98.9	98.84	98.9	98.97	98.9	98.9	98.9	98.9	98.9	98.9	98.84	98.84	98.84	98.97	98.97	98.9	98.9	98.9	98.97	98.84	98.97	98.9	98.9	98.9	98.9	98.9	98.9	98.9	98.97	98.9	98.97	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.81	99.81	99.87	99.87	99.87
cj1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68	96.68
cj1416c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87
cj1417c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cj1419c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cj1420c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cj1434c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.47	52.47	52.39	52.47	50.97	52.47	52.39	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	52.47	50.9	52.47	52.47	52.39	52.47	52.39	52.47	52.39	52.47	52.47	52.39	52.39	52.47	52.47	52.47	52.39	52.47	52.47	52.47	52.47	52.47	52.39	52.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.84	0
clpp	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.45	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62	90.62
csga	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csgb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csgc	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csgd	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csge	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csgf	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csgg	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cstiii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.74	57.74	57.63	57.63	57.63	57.63	57.63	57.63	57.63	57.63	57.74	57.74	57.63	57.63	57.63	57.63
cysc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ddha	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	98.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ddhb	88.08	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	88.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
draa	71.57	71.57	71.57	71.57	71.57	71.57	71.57	71.57	0	71.57	0	71.57	71.57	71.57	71.57	71.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enta	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	97.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entb	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	99.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entc	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ente	98.88	98.88	99.07	98.88	98.88	98.88	98.88	98.88	99.07	98.88	99.07	98.88	98.88	98.88	98.88	98.88	98.82	98.82	98.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entf	98.17	98.17	98.17	98.17	98.17	98.17	98.17	98.17	98.15	98.17	98.15	98.17	98.17	98.17	98.17	98.17	98.17	98.22	98.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ents	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	98.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eptc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.94	100	100	100	99.94	100	99.94	100	100	100	100	100	100	100	100	100	100	100	99.94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.94	100
f17d-c	0	80.07	80.07	0	0	80.07	0	0	0	0	0	0	80.07	0	80.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f17d-d	52.7	52.56	52.56	52.56	52.56	52.56	52.56	52.7	0	52.7	0	52.7	52.7	52.7	52.56	52.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
