Sample ID	Expected Pathogen at Species rank	IDseq (CZID) found species	IDseq (CZID) species result	PathoGFAIR found species	PathoGFAIR species result		Expected Pathogen at Subspecies rank	IDseq (CZID) found subspecies	IDseq (CZID) subspecies result	PathoGFAIR found subspecies	PathoGFAIR subspecies result		Expected Pathogen at Strain rank	PathoGFAIR detected pathogen at (Species, Subspecies or Strain taxonomic ranks)
Spike3Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike3Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (80%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (11%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike3Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (0%),  Salmonella enterica subsp. houtenae (100%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica
Spike3Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike3Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (60%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike3bBarcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike3bBarcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike3bBarcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (85%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (7%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike3bBarcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike3bBarcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike3bBarcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (53%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (7%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike4Barcode01	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Spike4Barcode02	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike4Barcode03	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike4Barcode04	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike4Barcode05	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike4Barcode06	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica
Spike4Barcode07	Salmonella enterica	Saccharomyces cerevisiae	False Positive	Methylobacterium radiotolerans	False Positive		Salmonella enterica subsp. houtenae		False Negative		False Negative		Salmonella enterica subsp. houtenae (DSM 9221)	Methylobacterium radiotolerans
Spike4Barcode08	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp. enterica (75%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (25%)	False Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica
Spike4Barcode09	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (35%),  Salmonella enterica subsp. houtenae (12%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (44%), other salmonella enterica (4%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike4Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (22%),  Salmonella enterica subsp. houtenae (33%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (11%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike4Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (33%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike4Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike4Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		1x S.Houtenea + 1x S.enterica + 10x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae	True Positive		1x S.Houtenea + 1x S.enterica + 10x S.Salamae	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae
Spike4Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		1x S.Houtenea + 10x S.enterica + 1x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae	True Positive		1x S.Houtenea + 10x S.enterica + 1x S.Salamae	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae
Spike4Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		10x S.Houtenea + 1x S.enterica + 1x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae	True Positive		10x S.Houtenea + 1x S.enterica + 1x S.Salamae	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2  + Salmonella enterica subsp houtenae
Spike4Barcode16	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		5x S.Houtenea + 5x S.enterica + 5x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae	True Positive		5x S.Houtenea + 5x S.enterica + 5x S.Salamae	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2  + Salmonella enterica subsp houtenae
