Sample ID	Spiked pathogen species	Spiked pathogen subspecies	Spiked pathogen strains	Species found in PathoGFAIR Taxonomy profiling	Salmonella enterica Subspecies found in PathoGFAIR Taxonomy profiling	Salmonella enterica Strains found in PathoGFAIR gene-based pathogen identification (VF genes product)	Relative abundance (%) of the expected subspecies in PathoGFAIR Taxonomy profiling	PathoGFAIR species result	PathoGFAIR subspecies result	Species found by IDseq (CZID)	Subspecies found by IDseq (CZID)	IDseq (CZID) species result	IDseq (CZID) subspecies result
Spike2bBarcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (5%),  Salmonella enterica subsp. houtenae (81%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike2bBarcode13	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (44%), Salmonella enterica subsp. houtenae (50%),  Salmonella enterica subsp. VII (2%),  Salmonella enterica subsp. indica (0.4%), other salmonella enterica (4%)		44	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike2bBarcode14	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (62%), Salmonella enterica subsp. enterica (28%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (5%)		62	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike2bBarcode15	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (49%),  Salmonella enterica subsp. houtenae (50%),  Salmonella enterica subsp. VII (2%),  Salmonella enterica subsp. indica (0.7%), other salmonella enterica (3%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode10	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.6%),  Salmonella enterica subsp. VII (0.4%),  Salmonella enterica subsp. indica (0.1%), other salmonella enterica (4%)		94	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode11	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (14%)		75	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (80%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (11%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode13	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (0%),  Salmonella enterica subsp. houtenae (100%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode14	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (70%), Salmonella enterica subsp. enterica (18%),  Salmonella enterica subsp. VII (3%),  Salmonella enterica subsp. indica (3%), other salmonella enterica (6%)		70	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3Barcode15	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (60%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
