key	S46-Mix(5:5:5): 5x S.Houtenea + 5x S.enterica + 5x S.Salamae	S45-Mix(10:1:1): 10x S.Houtenea + 1x S.enterica + 1x S.Salamae	S31-S.Enterica(1:E+3 dilution step)	S27-S.Salamae+enrichment	S26-S.Houtenae+enrichment	S25-S.Enterica+enrichment	S20-S.Houtenae+enrichment+Chicken Depletion	S15-S.Salamae+enrichment	S14-S.Houtenae+enrichment	S13-S.Enterica+enrichment	S09-S.Salamae+enrichment	S08-S.Houtenae+enrichment	S07-S.Enterica+enrichment	S02-S.Houtenae+enrichment	S01-S.Enterica+enrichment
fleS	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
flgA	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
flgB	0	0	0	1	2	0	0	1	2	0	1	2	2	0	1
flgC	0	0	0	1	2	0	0	1	2	0	1	2	2	0	1
flgD	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1
flgF	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
flgG	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
flgH	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
flgI	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
flgJ	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0
flgM	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
flhA	0	0	0	0	0	0	0	1	2	2	1	2	0	1	1
flhB	0	0	0	1	0	0	0	1	2	2	1	2	0	1	1
flhC	0	0	0	1	0	0	0	1	1	2	1	1	1	1	1
flhD	0	0	0	1	0	0	0	1	1	2	0	1	1	1	1
flhF	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
fliA	0	0	0	1	1	0	0	1	2	1	1	2	1	1	1
fliE	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
fliF	0	0	0	1	1	0	0	1	2	1	1	2	0	0	1
fliG	0	0	0	1	1	0	0	1	2	2	1	2	1	1	1
fliH	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
fliI	0	0	0	1	1	0	0	1	2	2	1	2	1	1	1
fliL	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
fliM	0	0	0	1	0	0	0	1	2	2	1	2	1	1	1
fliN	0	0	0	1	0	0	0	1	2	2	1	2	1	1	1
fliO	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
fliP	0	0	0	1	0	0	0	1	2	2	1	2	1	1	1
fliQ	0	0	0	1	0	0	0	1	2	2	1	2	0	1	1
fliR	0	0	0	1	0	0	0	1	2	1	1	2	0	1	1
fliS	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
fpvA	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0
galU	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1
gmd	0	0	0	2	1	0	0	2	2	1	2	2	2	1	1
gmhA/lpcA	0	0	0	1	1	0	0	1	1	2	1	1	1	1	1
gogB	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
grvA	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2
gspC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspF	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspI	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspJ	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspK	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gspM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gtrA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
gtrB	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2
hcp-2	0	0	0	1	1	0	0	2	2	0	2	2	0	2	0
hsiB1/vipA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
hsiC1/vipB	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
htpB	0	0	0	1	2	0	0	1	2	1	1	2	1	1	1
ibeA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
icl	0	0	0	1	2	0	0	1	2	2	0	2	2	0	1
icsP/sopA	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0
invA	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invB	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invC	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invE	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invF	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invG	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invH	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invI	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
invJ	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
iroB	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1
iroC	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1
iroD	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1
iroE	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1
iroN	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1
iucA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
iucB	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
iucC	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
iucD	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
iutA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
katA	0	0	0	0	1	0	0	1	2	0	0	2	0	0	0
kdsA	0	0	0	1	1	0	0	1	2	1	1	2	2	0	1
kdsB	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
kpsD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
lpfA	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
lpfB	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
lpfC	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
lpfD	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
lpfE	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
lpxA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
lpxB	0	0	1	1	1	0	0	1	1	2	1	1	0	0	1
lpxC	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
lpxD	0	0	1	1	1	0	0	1	1	2	1	1	1	1	1
luxS	0	0	0	1	1	0	0	1	1	1	1	1	2	1	1
manB	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1
mgtB	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
mgtC	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
mig-14	1	0	0	1	1	0	0	2	2	1	2	2	1	0	1
misL	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
motA	0	0	0	1	1	0	0	1	2	2	1	2	1	1	1
motB	0	0	0	1	1	0	0	1	2	2	1	2	1	1	1
motC	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
motD	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
motY	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
